Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
Big-12,Ochai Agbaji,SO,G,Kansas,31,1032,129,62,38,8,58,59,309,0.428,0.519,0.338,0.673,10,4.2,2,1.2,0.3,13.1,3.4,6.1
Big-12,Avery Anderson,FR,G,Oklahoma State,30,459,64,42,31,8,55,63,126,0.364,0.434,0.077,0.8,4.2,2.1,1.4,1,0.3,7.9,0.2,0.1
Big-12,Yor Anei,SO,F,Oklahoma State,32,650,151,16,19,60,39,100,259,0.484,0.486,0.333,0.704,8.1,4.7,0.5,0.6,1.9,20.6,2.6,4.8
Big-12,Dylan Arnette,FR,G,TCU,4,3,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-4.5
Big-12,Owen Aschieris,JR,G,TCU,9,18,2,1,0,0,0,2,3,0.5,,0.5,,0.3,0.2,0.1,0,0,9.2,0.1,0.2
Big-12,Udoka Azubuike,SR,C,Kansas,31,859,324,29,15,80,76,75,426,0.748,0.748,,0.441,13.7,10.5,0.9,0.5,2.6,31.3,5.5,12.4
Big-12,Will Baker,FR,C,Texas,23,194,44,8,5,2,20,29,49,0.275,0.433,0.154,0.333,2.1,1.9,0.3,0.2,0.1,1.4,-0.2,-7.1
Big-12,Devonte Bandoo,SR,G,Baylor,30,774,107,45,18,2,46,35,229,0.385,0.385,0.385,0.735,7.6,3.6,1.5,0.6,0.1,11.3,2.1,3.5
Big-12,Desmond Bane,SR,G,TCU,32,1152,203,124,47,17,74,70,531,0.452,0.461,0.442,0.789,16.6,6.3,3.9,1.5,0.5,22.6,5.3,9.8
Big-12,Russell Barlow,SO,C,TCU,5,22,1,1,0,0,0,4,0,0,0,,,0,0.2,0.2,0,0,-1.4,0,-7.3
Big-12,Avery Benson,SO,G,Texas Tech,31,299,44,7,15,7,2,34,55,0.463,0.556,0.391,0.889,1.8,1.4,0.2,0.5,0.2,13.2,1.2,7
Big-12,Jamal Bieniemy,SO,G,Oklahoma,31,990,124,87,34,5,44,55,162,0.345,0.446,0.253,0.792,5.2,4,2.8,1.1,0.2,8.4,1.5,1.6
Big-12,Rasir Bolton,SO,G,Iowa State,30,925,103,84,32,4,83,63,440,0.404,0.448,0.336,0.848,14.7,3.4,2.8,1.1,0.1,16.5,2.3,2.5
Big-12,Kalib Boone,FR,F,Oklahoma State,31,362,94,13,7,23,22,53,147,0.549,0.549,,0.729,4.7,3,0.4,0.2,0.7,22.3,1.6,5.1
Big-12,Keylan Boone,FR,G,Oklahoma State,26,236,60,6,10,4,8,20,71,0.397,0.455,0.343,0.625,2.7,2.3,0.2,0.4,0.2,16.3,0.8,5.2
Big-12,Carter Boothe,SO,G,Iowa State,7,11,1,1,0,0,1,1,5,0.25,,0.25,1,0.7,0.1,0.1,0,0,10.8,0,-4.2
Big-12,Christian Braun,FR,G,Kansas,31,569,90,15,21,7,13,41,163,0.431,0.414,0.444,0.731,5.3,2.9,0.5,0.7,0.2,14.8,2.4,8.2
Big-12,Jared Butler,SO,G,Baylor,30,911,97,94,49,4,73,74,480,0.421,0.462,0.381,0.775,16,3.2,3.1,1.6,0.1,21,4.4,9.3
Big-12,Keller Casey,FR,G,Oklahoma,3,5,2,0,0,0,2,1,0,0,,0,,0,0.7,0,0,0,-31.1,-0.1,-34.7
Big-12,Tristan Clark,JR,F,Baylor,22,289,53,11,4,10,26,53,87,0.475,0.487,0,0.647,4,2.4,0.5,0.2,0.5,8.8,0.6,-1.4
Big-12,Chris Clarke,SR,F,Texas Tech,30,728,199,137,26,3,67,48,168,0.453,0.48,0.167,0.714,5.6,6.6,4.6,0.9,0.1,16.7,2.7,7.1
Big-12,Matt Coleman,JR,G,Texas,30,1008,89,102,40,2,69,65,382,0.441,0.468,0.395,0.797,12.7,3,3.4,1.3,0.1,16.6,3.4,5.4
Big-12,George Conditt IV,SO,F,Iowa State,32,523,157,16,19,50,45,69,225,0.553,0.563,0,0.618,7,4.9,0.5,0.6,1.6,23.9,1.9,3.6
Big-12,Derek Culver,SO,F,West Virginia,31,760,267,54,24,24,71,84,323,0.457,0.458,0,0.517,10.4,8.6,1.7,0.8,0.8,19.7,3,6.1
Big-12,Brock Cunningham,FR,F,Texas,16,162,28,5,7,4,5,28,23,0.32,0.5,0.235,0.5,1.4,1.8,0.3,0.4,0.3,7.4,0.3,3.1
Big-12,Silvio De Sousa,JR,F,Kansas,18,148,51,2,2,15,17,32,47,0.471,0.452,0.667,0.52,2.6,2.8,0.1,0.1,0.8,15,0.5,-1
Big-12,Edric Dennis,SR,G,TCU,32,671,51,74,26,3,62,53,197,0.31,0.272,0.336,0.611,6.2,1.6,2.3,0.8,0.1,7.5,0.6,-1.5
Big-12,Cartier Diarra,JR,G,Kansas State,32,1000,122,134,58,10,103,77,426,0.412,0.505,0.305,0.669,13.3,3.8,4.2,1.8,0.3,17.4,2.9,6
