Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
Big-12,Ochai Agbaji,JR,G,Kansas,30,1010,110,56,33,14,41,55,423,0.42,0.483,0.377,0.689,14.1,3.7,1.9,1.1,0.5,17,3.7,6.7
Big-12,Chibuzo Agbo,FR,G,Texas Tech,22,140,16,5,1,2,1,10,45,0.41,0.571,0.32,0.556,2,0.7,0.2,0,0.1,14.4,0.5,3.3
Big-12,Avery Anderson,SO,G,Oklahoma State,27,821,109,54,40,8,70,84,329,0.475,0.522,0.328,0.839,12.2,4,2,1.5,0.3,15.1,2.5,4.1
Big-12,Dylan Arnette,SO,G,TCU,2,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-1.9
Big-12,Owen Aschieris,SR,G,TCU,4,4,1,2,0,0,2,0,0,,,,,0,0.3,0.5,0,0,-6.7,0,-17
Big-12,Avery Benson,JR,G,Texas Tech,20,103,13,8,3,3,3,14,25,0.6,0.5,0.667,0.111,1.3,0.7,0.4,0.2,0.2,15.2,0.4,6.4
Big-12,Dudley Blackwell,FR,F,Iowa State,11,105,7,6,2,2,7,6,18,0.211,0.25,0.143,0.692,1.6,0.6,0.5,0.2,0.2,2.4,-0.1,-5.4
Big-12,Rasir Bolton,JR,G,Iowa State,21,694,100,82,27,3,68,53,326,0.459,0.514,0.314,0.843,15.5,4.8,3.9,1.3,0.1,18.4,1.6,3.1
Big-12,Kalib Boone,SO,F,Oklahoma State,30,618,161,24,19,49,56,74,282,0.642,0.642,,0.651,9.4,5.4,0.8,0.6,1.6,23.6,2.7,7.1
Big-12,Keylan Boone,SO,G,Oklahoma State,27,395,110,17,6,9,20,32,118,0.411,0.583,0.271,0.636,4.4,4.1,0.6,0.2,0.3,14.3,1.2,4.1
Big-12,Carter Boothe,JR,G,Iowa State,1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-8.5
Big-12,Davion Bradford,FR,F,Kansas State,29,608,126,6,5,12,38,71,223,0.621,0.621,,0.589,7.7,4.3,0.2,0.2,0.4,16,1.5,0
Big-12,Christian Braun,SO,G,Kansas,30,934,155,57,37,13,39,50,291,0.38,0.449,0.34,0.786,9.7,5.2,1.9,1.2,0.4,15,3.2,6.3
Big-12,Jalen Bridges,FR,F,West Virginia,28,507,101,9,14,12,14,46,165,0.496,0.604,0.409,0.714,5.9,3.6,0.3,0.5,0.4,17.8,2,6
Big-12,Greg Brown,FR,F,Texas,26,535,161,10,15,26,60,77,243,0.42,0.5,0.33,0.708,9.3,6.2,0.4,0.6,1,16,1.5,2.5
Big-12,Nimari Burnett,FR,G,Texas Tech,12,212,22,11,17,6,17,21,64,0.28,0.37,0.174,0.889,5.3,1.8,0.9,1.4,0.5,13,0.6,3.5
Big-12,Jamarius Burton,JR,G,Texas Tech,23,436,41,27,19,2,26,29,100,0.404,0.438,0.333,0.737,4.3,1.8,1.2,0.8,0.1,9.7,0.9,2
Big-12,Jared Butler,JR,G,Baylor,30,910,99,144,59,11,85,73,502,0.471,0.524,0.416,0.78,16.7,3.3,4.8,2,0.4,25,5.4,11.7
Big-12,Keller Casey,SO,G,Oklahoma,4,11,3,1,0,0,0,0,2,0.2,0.333,0,,0.5,0.8,0.3,0,0,3.7,0,-10.3
Big-12,Matt Coleman,SR,G,Texas,27,930,94,109,32,2,69,59,356,0.485,0.568,0.377,0.813,13.2,3.5,4,1.2,0.1,17.3,3.6,6.2
Big-12,Jalen Coleman-Lands,SR,G,Iowa State,23,754,90,27,19,2,46,66,329,0.435,0.481,0.395,0.861,14.3,3.9,1.2,0.8,0.1,14.8,1.3,2.3
Big-12,George Conditt IV,JR,F,Iowa State,24,313,86,7,6,22,28,45,58,0.406,0.406,,0.4,2.4,3.6,0.3,0.3,0.9,8.5,-0.1,-4.2
Big-12,Isaiah Cottrell,FR,F,West Virginia,10,56,14,4,2,2,5,9,16,0.333,0.467,0,0.5,1.6,1.4,0.4,0.2,0.2,7.2,0,-3.1
Big-12,LJ Cryer,FR,G,Baylor,20,199,11,15,10,0,9,7,67,0.382,0.455,0.364,0.643,3.4,0.6,0.8,0.5,0,14,0.7,2.9
Big-12,Derek Culver,JR,F,West Virginia,29,763,274,32,24,24,65,75,414,0.478,0.478,,0.624,14.3,9.4,1.1,0.8,0.8,23.6,3.1,4.5
Big-12,Brock Cunningham,SO,F,Texas,25,381,78,21,21,7,13,51,40,0.277,0.364,0.25,0.556,1.6,3.1,0.8,0.8,0.3,9.1,0.9,6
Big-12,Cade Cunningham,FR,G,Oklahoma State,27,956,167,94,43,21,109,67,544,0.438,0.461,0.4,0.846,20.1,6.2,3.5,1.6,0.8,21.6,4,8.3
Big-12,Andrew Deutser,,G,Texas,2,2,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-3.4
Big-12,Darlinstone Dubar,FR,G,Iowa State,16,231,39,7,6,3,19,23,37,0.341,0.355,0.3,0.462,2.3,2.4,0.4,0.4,0.2,3.5,-0.3,-5.4
Big-12,Kevin Easley,SO,F,TCU,26,508,96,22,6,4,25,33,116,0.387,0.509,0.255,0.75,4.5,3.7,0.8,0.2,0.2,9.6,0.6,-0.8
Big-12,Kyler Edwards,JR,G,Texas Tech,29,904,139,80,32,14,38,49,294,0.408,0.393,0.418,0.789,10.1,4.8,2.8,1.1,0.5,17.2,3.9,8.2
Big-12,Tristan Enaruna,SO,G,Kansas,25,235,41,8,9,4,21,19,71,0.415,0.512,0.227,0.667,2.8,1.6,0.3,0.4,0.2,10.6,0.4,0.9
Big-12,Kaosi Ezeagu,SO,F,Kansas State,19,321,61,6,7,13,24,49,98,0.561,0.561,,0.462,5.2,3.2,0.3,0.4,0.7,11.9,0.4,-1
Big-12,Francisco Farabello,SO,G,TCU,9,220,15,21,10,0,4,11,48,0.436,0.4,0.448,0.2,5.3,1.7,2.3,1.1,0,13.1,0.6,3.2
Big-12,Jase Febres,SR,G,Texas,13,219,19,10,4,4,3,13,68,0.393,0.4,0.392,1,5.2,1.5,0.8,0.3,0.3,13.6,0.8,6.5
Big-12,Adam Flagler,SO,G,Baylor,28,639,64,40,24,1,21,43,255,0.454,0.481,0.434,0.872,9.1,2.3,1.4,0.9,0,18.6,3.2,8.9
Big-12,Ferron Flavors,SR,G,Oklahoma State,24,279,20,6,4,0,6,15,82,0.315,0.526,0.26,0.714,3.4,0.8,0.3,0.2,0,6.3,0.3,-0.3
Big-12,Xavier Foster,FR,F,Iowa State,7,55,12,1,2,2,4,11,28,0.625,0.583,0.75,0.714,4,1.7,0.1,0.3,0.3,23.9,0.2,3.7
Big-12,Terren Frank,FR,F,TCU,14,120,12,5,1,2,4,9,27,0.407,0.429,0.385,0,1.9,0.9,0.4,0.1,0.1,7.9,0.1,-0.9
